start_ticks,channel,end_beats,end_s,end_ticks,key_signature,length_beats,length_s,length_ticks,note,start_beats,start_s,time_signature,track,velocity
19968,0,78.24609375,33.894509222656254,20031,D,78.24609375,0.10398322265625382,63,42,78.0,33.790526,4 4,Piano,41
19968,1,78.4921875,33.9984924453125,20094,D,78.4921875,0.20796644531250053,126,23,78.0,33.790526,4 4,Piano,29
20096,0,78.74609375,34.10577672265625,20159,D,78.74609375,0.10398322265625382,63,38,78.5,34.0017935,4 4,Piano,33
20224,0,79.24609375,34.31704422265625,20287,D,79.24609375,0.10398322265624671,63,42,79.0,34.213061,4 4,Piano,41
20224,1,79.4921875,34.421027445312504,20350,D,79.4921875,0.20796644531250053,126,30,79.0,34.213061,4 4,Piano,38
20352,0,79.74609375,34.52831172265625,20415,D,79.74609375,0.10398322265624671,63,47,79.5,34.4243285,4 4,Piano,39
20480,0,80.24609375,34.73957922265625,20543,D,80.24609375,0.10398322265625382,63,45,80.0,34.635596,4 4,Piano,37
20480,1,80.4921875,34.8435624453125,20606,D,80.4921875,0.20796644531250053,126,26,80.0,34.635596,4 4,Piano,32
20608,0,80.74609375,34.95084672265625,20671,D,80.74609375,0.10398322265625382,63,42,80.5,34.8468635,4 4,Piano,30
20736,0,81.24609375,35.16211422265625,20799,D,81.24609375,0.10398322265624671,63,38,81.0,35.058131,4 4,Piano,34
20736,1,81.4921875,35.266097445312504,20862,D,81.4921875,0.20796644531250053,126,33,81.0,35.058131,4 4,Piano,41
20864,0,81.74609375,35.37338172265625,20927,D,81.74609375,0.10398322265624671,63,42,81.5,35.2693985,4 4,Piano,39
20992,0,83.8046875,36.2432096328125,21454,D,83.8046875,0.7625436328125019,462,45,82.0,35.480666,4 4,Piano,53
20992,1,82.4921875,35.6886324453125,21118,D,82.4921875,0.20796644531250053,126,26,82.0,35.480666,4 4,Piano,28
21248,1,83.4921875,36.1111674453125,21374,D,83.4921875,0.20796644531250053,126,33,83.0,35.903201,4 4,Piano,41
